cluster_id,canonical_name,birth_year,death_year,record_count,roles,subjects,genres,domains,sample_titles,domain_summary,context_completeness
25,"Ward, Edward, 1667-1731",1667.0,1731.0,48,Contributor; Subject,"Webster, Daniel, 1782-1852; Speeches, addresses, etc., American.; Chamberlain, Jacob Chester, 1860-1905--Bookplate; Aldis, Owen Franklin, 1852-1925--Bookplate; Everett, Edward, 1794-1865--Presentation inscription from",Biographies; Statistics; Motions and Resolutions; Legislative Report - Private Bills,history; language_and_literature; fine_arts; general_works; political_science,"The dissenting hypocrite: or Occasional conformist; with reflections on two of the ring-leaders, &c; Hudibras redivivus, or, A burlesque poem on the times ...; Nuptial dialogues and debates, or, An useful prospect of the felicities and discomforts of a marry'd life, incident to all degrees, from the throne to the cottage ...",history; Biographies; language_and_literature; fine_arts; Statistics; general_works; political_science,0.49
26,"Bolton, Robert, 1572-1631",1572.0,1631.0,149,Contributor; Subject; Associated person; Author,Tuberculosis; Socialism; Eschatology--Early works to 1800; Christian life--Anglican authors; Church of England--Clergy--Biography,Biographies; Statistics; Legislative Report - Public Bills; Poetry; Dictionaries,language_and_literature; philosophy_psychology_religion; history; fine_arts; science,Prose jottings of Robert Frost: selections from his notebooks and miscellaneous manuscripts; Mountain interval; Mountain interval,Biographies; language_and_literature; philosophy_psychology_religion; Tuberculosis; history; fine_arts; Socialism,0.57
27,"Clay, Henry, 1777-1852",1777.0,1852.0,30,Subject; Contributor,"United States--Politics and government--1815-1861; Clay, Henry, 1777-1852--Death and burial; Kentucky--History; Clay, Henry, 1777-1852; Jackson, Andrew, 1767-1845",Biographies; Statistics; Tracts (literary genre); Speeches; Legislative Report - Private Bills,political_science; fine_arts; language_and_literature; history,"Substance of Mr. Storrs' remarks, at the meeting of the friends of the administration: held at Whitesboro', July fourth, 1828, for the purpose of nominating an elector of president, and vice-president, for the county of Oneida; Annexation of Texas: opinions of Messrs. Clay, Polk, Benton & Van Buren on the immediate annexation of Texas.; Speech of Mr. Mason, of Virginia: on the bill reported by Mr. Clay from the Committee of Thirteen to admit California as a state into the Union, to establish territorial governments for Utah and New Mexico, and making proposals to Texas for the establishment of her western and northern boundaries ; delivered in the Senate of the United States, May 27, 1850.",political_science; fine_arts; language_and_literature; Biographies; United States--Politics and government--1815-1861; Statistics; history,0.55
28,"Spencer, Herbert, 1820-1903",1820.0,1903.0,36,Contributor; Subject; Author,"Gray, Bradford H., 1942---Ownership; Sociology; Social evolution; Social sciences; Education",Catalogs,science; social_sciences; philosophy_psychology_religion; political_science; education,"British artists' books 1970-1983: an exhibition; Social statics, or, The conditions essential to human happiness specified, and the first of them developed; Social statics, or, The conditions essential to human happiness specified, and the first of them developed","science; social_sciences; Gray, Bradford H., 1942---Ownership; philosophy_psychology_religion; political_science; Sociology; Social evolution",0.56
29,"West, Benjamin, 1730-1813",1730.0,1813.0,62,Contributor; Subject; Author,"Brit Tracts--1717; Lord's Supper; West, Benjamin; Booksellers' advertisements--Massachusetts--Boston; Shakers",Statistics; Memorials and Petitions,general_works; fine_arts; political_science; language_and_literature,"A treatise on painting: In four parts ... The whole illustrated by examples from the Italian, Venetian, Flemish, and Dutch schools.; A letter from the Right Reverend G-----lb-----rt, late Lord Bishop of S-----m, to the Right Reverend B---nj----m---n, L--d B---p of B--ng--r ...; Observations on the bishop's answer to Dr. Snape",general_works; fine_arts; political_science; Brit Tracts--1717; Statistics; language_and_literature; Lord's Supper,0.47
30,"Baum, L. Frank (Lyman Frank), 1856-1919",1856.0,1919.0,36,Contributor; Subject; Associated person,"Baum, L. Frank (Lyman Frank), 1856-1919--Presentation inscription to J.W. Neal; Neal, Joseph Ward--Presentation inscription from L.F. Baum; Baum, L. Frank (Lyman Frank), 1856-1919--Presentation inscription to E.F. Parmelee; Parmelee, Edwin F.--Presentation inscription from L.F. Baum; Cooper, Alan--Autograph",Fiction; Juvenile literature; Pictures; Video recordings; Publishers' advertisements,language_and_literature; music; history; fine_arts,Ozma od Oza; Ozma od Oza; Der Zauberer Oz,"Fiction; language_and_literature; music; history; Baum, L. Frank (Lyman Frank), 1856-1919--Presentation inscription to J.W. Neal; Neal, Joseph Ward--Presentation inscription from L.F. Baum; Baum, L. Frank (Lyman Frank), 1856-1919--Presentation inscription to E.F. Parmelee",0.7
31,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马迁, approximately 145 B.C.-approximately 86 B.C.",,,36,Subject; Contributor,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 202 B.C.-220 A.D; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記",Biographies; Indexes; History,history; language_and_literature,Shi ji lun gao; 史记论稿; Shi ji ji jie suo yin zheng yi he kan ben; 史記集解索引正義合刻本　; Shi ji ji jie suo yin zheng yi he kan ben; 史記集解索引正義合刻本　,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; history; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 202 B.C.-220 A.D; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記; Biographies",0.69
32,"Browning, Elizabeth Barrett, 1806-1861",1806.0,1861.0,32,Subject; Contributor; Author,"Browning, Elizabeth Barrett, 1806-1861--Correspondence; Browning, Elizabeth Barrett, 1806-1861--Musical settings; Songs (High voice) with piano; Cook, Henrietta Barrett, d. 1860.; Browning, Robert, 1812-1889--Art--Catalogs",Songs; Autobiographies; Psalms (Music); Musical settings; Art music,language_and_literature; music; fine_arts; history,"Aurora Leigh; The letters of Elizabeth Barrett Browning to Mary Russell Mitford, 1836-1854; The letters of Elizabeth Barrett Browning to Mary Russell Mitford, 1836-1854","language_and_literature; music; fine_arts; Browning, Elizabeth Barrett, 1806-1861--Correspondence; Browning, Elizabeth Barrett, 1806-1861--Musical settings; Songs; Psalms (Music)",0.56
33,"Niederstein, Peter",,,1,Contributor,Fasts and feasts,,,Fastnachtszauber: Zwischenrufe eines Theologen,Fasts and feasts,0.6
34,"Niederstein, Peter",,,1,Contributor,Theological anthropology; Human beings,,philosophy_psychology_religion; geography_anthropology_recreation,Das Bunte zu lieben sind wir da: Ansporn zur Menschlichkeit,philosophy_psychology_religion; geography_anthropology_recreation; Theological anthropology; Human beings,0.6
35,"Mauriac, François, 1885-1970",1885.0,1970.0,40,Subject; Contributor,"Mauriac, François, 1885-1970--Bibliography; French literature--Phonorecords; Mauriac, François, 1885-1970--Literary style; Mauriac, François, 1885-1970. Baiser au lépreux; Mauriac, François, 1885-1970. Génitrix",Fiction,language_and_literature; general_works; bibliography_library_science; history; philosophy_psychology_religion,François Mauriac et Thérèse Desqueyroux; Le cahier noir: (The black note book) ...; Le cahier noir: (The black note book) ...,"language_and_literature; general_works; bibliography_library_science; Mauriac, François, 1885-1970--Bibliography; French literature--Phonorecords; Mauriac, François, 1885-1970--Literary style; Mauriac, François, 1885-1970. Baiser au lépreux",0.53
36,"Lucan, 39-65",,,46,Contributor; Subject; Author,"Lucan, 39-65. Pharsalia; Rome--History--Civil War, 49-45 B.C.--Literature and the war; Rome--History--Civil War, 49-45 B.C.--Poetry; Epic poetry, Latin--History and criticism; Pharsalus, Battle of, Farsala, Greece, 48 B.C.--Poetry",Poetry; Manuscript waste (Binding),history; language_and_literature,"La provvidenza crudele: Lucano e la distruzione dei miti augustei; A continvation of Lucan's historicall poem till the death of Ivlivs Cæsar; M. Annei Lvcani De bello civili libri decem: nunc recèns post omneis omnium editiones sedulò recogniti, ac scholijs lepidis illustrati","history; language_and_literature; Lucan, 39-65. Pharsalia; Rome--History--Civil War, 49-45 B.C.--Literature and the war; Rome--History--Civil War, 49-45 B.C.--Poetry; Epic poetry, Latin--History and criticism; Pharsalus, Battle of, Farsala, Greece, 48 B.C.--Poetry",0.59
37,"Moncrieff, A. R. Hope (Ascott Robert Hope), 1846-1927",1846.0,1927.0,34,Contributor; Author,Students--Juvenile fiction; Children--Conduct of life--Juvenile fiction; Conduct of life--Juvenile fiction; Boarding schools--Juvenile fiction; Children's stories,Fiction,language_and_literature; geography_anthropology_recreation; education,"The wigwam and the warpath, or, Tales of the red Indians; Stories of long ago; Stories of old reknown: tales of knights and heroes",language_and_literature; Fiction; Students--Juvenile fiction; Children--Conduct of life--Juvenile fiction; Conduct of life--Juvenile fiction; Boarding schools--Juvenile fiction; Children's stories,0.72
38,"Benjamin, J. P. (Judah Philip), 1811-1884",1811.0,1884.0,1,Subject,,Biographies,,Judah P. Benjamin: by Pierce Butler,Biographies,0.4
39,"Benjamin, J. P. (Judah Philip), 1811-1884",1811.0,1884.0,1,Contributor,United States. War Dept. Record Division--Stamp; Confederate States of America--Foreign relations; Virginia. Richmond. 1862.,,,Majority report of the Committee on Foreign Affairs,United States. War Dept. Record Division--Stamp; Confederate States of America--Foreign relations; Virginia. Richmond. 1862.,0.4
40,"Benjamin, J. P. (Judah Philip), 1811-1884",1811.0,1884.0,1,Contributor,"Fort Donelson, Battle of, 1862; United States--History--Civil War, 1861-1865--Campaigns; Virginia. Richmond. 1862.",,history,"Letter from secretary of war: Confederate States of America, War Dep't, Richmond, March 11th, 1862","history; Fort Donelson, Battle of, 1862; United States--History--Civil War, 1861-1865--Campaigns; Virginia. Richmond. 1862.",0.4
41,"Olson, Steve, 1956-",1956.0,,1,Contributor,Biotechnology--Congresses; Genetic engineering--Congresses,Conference papers and proceedings,technology,Biotechnology: an industry comes of age,technology; Biotechnology--Congresses; Genetic engineering--Congresses; Conference papers and proceedings,0.8
42,"Stadler, Joseph Constantine, active 1780-1812",1780.0,1812.0,26,Printmaker; Engraver; Artist,"London (England)--Pictorial works; Interiors--England--London; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership",graphic; Book illustrations; Views; Armorial bookplates (Provenance); Aquatints,geography_anthropology_recreation; history; fine_arts; law,"The history of the island of Guernsey: part of the ancient duchy of Normandy, from the remotest period of antiquity to the year 1814 : containing an interesting account of the island : its government, civil, military, and ecclesiastical : peculiar privileges, customs, etc. with particulars of the neighbouring islands of Alderney, Serk, and Jersey : compiled from the valuable collections of the late Henry Budd, Esq., His Majesty's receiver, and more than thirty years resident in the island : (collected by him for the purpose of publication, which his death prevented) : as well as from authentic documents, Royal Charters, public records, and private manuscripts; Travels through the Canadas, containing a description of the picturesque scenery on some of the rivers and lakes: with an account of the productions, commerce, and inhabitants of those provinces : to which is subjoined a comparative view of the manners and customs of several of the Indian nations of North and South America; An history of the River Thames ...",graphic; Book illustrations; geography_anthropology_recreation; London (England)--Pictorial works; Views; history; fine_arts,0.74
43,"Wu, Han, 1909-1969 吳晗, 1909-1969",1909.0,1969.0,48,Contributor; Performer; Subject; Instrumentalist,"Hai, Rui, 1514-1587--Drama; China--Kings and rulers--Biography; 海瑞, 1514-1587--Drama; Ming Taizu, Emperor of China, 1328-1398; Sonatas (Cello and piano)",Biographies; Sonatas; Video recordings; Filmed performances; Chamber music,music; language_and_literature; history; political_science; fine_arts,Du shi zha ji; 讀史箚記; Wu Han de xue shu sheng ya; 吴晗的学术生涯　; Wu Han ji nian wen ji; 吴晗纪念文集,"music; Biographies; language_and_literature; Hai, Rui, 1514-1587--Drama; history; China--Kings and rulers--Biography; Chamber music",0.66
44,"Berry, Mary, 1763-1852",1763.0,1852.0,1,Contributor,Art--England--History; Painting--England--History; Engravers--Great Britain; Engraving--Specimens--1798; Etching--Specimens--1798,,history; fine_arts,"The works of Horatio Walpole, Earl of Orford ...",history; fine_arts; Art--England--History; Painting--England--History; Engravers--Great Britain; Engraving--Specimens--1798; Etching--Specimens--1798,0.4
45,"Campos, Haroldo de",,,1,Contributor,"Campos, Haroldo de--Autograph",,,"Xadrez de estrelas: percurso textual, 1949-1974","Campos, Haroldo de--Autograph",0.6
46,"Campos, Haroldo de",,,1,Associated person,"Campos, Haroldo de--Autograph",,,"Xadrez de estrelas: percurso textual, 1949-1974","Campos, Haroldo de--Autograph",0.6
47,"Campos, Haroldo de",,,1,Contributor,,,,Signantia quasi coelum: Signância quase céu,Unknown domain,0.4
48,"Campos, Haroldo de",,,1,Contributor,"Literature, Modern--History and criticism; Brazilian literature--History and criticism",,history; language_and_literature,Metalinguagem: ensaios de teoria e crítica literária,"history; language_and_literature; Literature, Modern--History and criticism; Brazilian literature--History and criticism",0.6
49,"Palmquist, Peter E.",,,1,Contributor,"Ward, Catharine Weed Barnes, 1851-1913; Photography; Women photographers--United States--Biography; Palmquist, Peter E.--Ownership",Biographies,fine_arts,"Catharine Weed Barnes Ward, pioneer advocate for women in photography","fine_arts; Ward, Catharine Weed Barnes, 1851-1913; Photography; Women photographers--United States--Biography; Palmquist, Peter E.--Ownership; Biographies",0.8
50,"Palmquist, Peter E.",,,1,Associated person,"Ward, Catharine Weed Barnes, 1851-1913; Photography; Women photographers--United States--Biography; Palmquist, Peter E.--Ownership",Biographies,fine_arts,"Catharine Weed Barnes Ward, pioneer advocate for women in photography","fine_arts; Ward, Catharine Weed Barnes, 1851-1913; Photography; Women photographers--United States--Biography; Palmquist, Peter E.--Ownership; Biographies",0.8
51,"Laughlin, James, 1914-1997",1914.0,1997.0,1,Contributor,"Laughlin, James, 1914-1997--Presentation inscription to G. Stein; Laughlin, James, 1914-1997--Presentation inscription to W.C. Williams; William, Carlos William, 1883-1963--Presentation inscription from J. Laughlin; Stein, Gertrude, 1874-1946--Presentation inscription from J. Laughlin",,,The river,"Laughlin, James, 1914-1997--Presentation inscription to G. Stein; Laughlin, James, 1914-1997--Presentation inscription to W.C. Williams; William, Carlos William, 1883-1963--Presentation inscription from J. Laughlin; Stein, Gertrude, 1874-1946--Presentation inscription from J. Laughlin",0.6
52,"Laughlin, James, 1914-1997",1914.0,1997.0,1,Associated person,"Laughlin, James, 1914-1997--Presentation inscription to G. Stein; Laughlin, James, 1914-1997--Presentation inscription to W.C. Williams; William, Carlos William, 1883-1963--Presentation inscription from J. Laughlin; Stein, Gertrude, 1874-1946--Presentation inscription from J. Laughlin",,,The river,"Laughlin, James, 1914-1997--Presentation inscription to G. Stein; Laughlin, James, 1914-1997--Presentation inscription to W.C. Williams; William, Carlos William, 1883-1963--Presentation inscription from J. Laughlin; Stein, Gertrude, 1874-1946--Presentation inscription from J. Laughlin",0.6
53,"Laughlin, James, 1914-1997",1914.0,1997.0,1,Associated person,"Laughlin, James, 1914-1997--Presentation inscription to G. Stein; Laughlin, James, 1914-1997--Presentation inscription to W.C. Williams; William, Carlos William, 1883-1963--Presentation inscription from J. Laughlin; Stein, Gertrude, 1874-1946--Presentation inscription from J. Laughlin",,,The river,"Laughlin, James, 1914-1997--Presentation inscription to G. Stein; Laughlin, James, 1914-1997--Presentation inscription to W.C. Williams; William, Carlos William, 1883-1963--Presentation inscription from J. Laughlin; Stein, Gertrude, 1874-1946--Presentation inscription from J. Laughlin",0.6
54,"Laughlin, James, 1914-1997",1914.0,1997.0,1,Contributor,,Fiction,,Poems from the Greenberg manuscripts: a selection from the work of Samuel B. Greenberg,Fiction,0.6
55,"Cooper, James Fenimore, 1789-1851",1789.0,1851.0,68,Contributor; Subject,"Cole, Philip Gillett--Bookplate; Thomas, Henry A.--Autograph; Dumell, J. S.--Autograph; Pforzheimer, Walter L. (Walter Lionel), 1914-2003--Ownership; Historical fiction, American--History and criticism",Fiction; Juvenile literature,language_and_literature; history; general_works; geography_anthropology_recreation,"A residence in France: with an excursion up the Rhine, and a second visit to Switzerland; The Parthenon; The spy","Fiction; Cole, Philip Gillett--Bookplate; Thomas, Henry A.--Autograph; Dumell, J. S.--Autograph; Pforzheimer, Walter L. (Walter Lionel), 1914-2003--Ownership; language_and_literature; history",0.79
56,"Thomas, Elmer, 1876-1965",1876.0,1965.0,52,Contributor; Printer; Subject; Bookseller,Legislative amendments; Indian claims; Indian land transfers; Jurisdiction; Claims,Statistics; Legislative Report - Public Bills; Legislative Report - Private Bills; Juvenile literature; Prospectuses,fine_arts; general_works; law; political_science; language_and_literature,"Broad grins; Literary proposal: Proposal of Isaiah Thomas and Company, for publishing by subscription, a new periodical work, to be entitled, the Massachusetts magazine: or Monthly museum of knowledge and rational entertainment. : [Two lines in Latin from Horace]; To the customers for Thomas's Massachusetts spy ...",Statistics; Legislative Report - Public Bills; fine_arts; Legislative amendments; general_works; law; political_science,0.57
