record,marcKey,person,roles,title,attribution,provision,subjects,genres,relatedWork,recordId,id,null_field_count,birth_year,death_year,name_without_dates,has_life_dates,pub_year,normalized_name,context,primary_context,domain_context,context_completeness,entity_mentions,has_vector,primary_domain,temp_cluster,cluster_id,canonical_name
"Subject: Sima, Qian, approximately 145 B.C.-approximately 86 B.C.司馬遷, approximately 145 B.C.-approximately 86 B.C.
Title: Shi ji shi li; 史記釋例
Attribution: Jin Dejun zhuan靳德峻撰
Subjects: Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記
Provision information: Shanghai: Shang wu yin shu guan, Minguo 22 [1933]; 上海: 商務印書館, 民國22 [1933]","60010$6880-05$aSima, Qian,$dapproximately 145 B.C.-approximately 86 B.C.$tShi ji. 88014$6600-05/$1$a司馬遷,$dapproximately 145 B.C.-approximately 86 B.C.$t史記.","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司馬遷, approximately 145 B.C.-approximately 86 B.C.",Subject,Shi ji shi li; 史記釋例,Jin Dejun zhuan 靳德峻撰,"Shanghai: Shang wu yin shu guan, Minguo 22 [1933] 上海: 商務印書館, 民國22 [1933]","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記",,,1132647,1132647#Agent600-19,2,,,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司馬遷, approximately 145 B.C.-approximately 86 B.C.",False,1933,sima qian approximately 145 b c approximately 86 b c 司馬遷 approximately 145 b c approximately 86 b c,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司馬遷, approximately 145 B.C.-approximately 86 B.C. Shi ji shi li; 史記釋例 Subject Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記  ","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司馬遷, approximately 145 B.C.-approximately 86 B.C. Shi ji shi li; 史記釋例 Subject","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記 ",0.6,Qian;Sima;Subject,True,,30.0,31,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马迁, approximately 145 B.C.-approximately 86 B.C."
"Subject: Sima, Qian, approximately 145 B.C.-approximately 86 B.C.司马遷, a. 145-ca. 86 B.C.
Title: ""Shi ji"" jing hua zhu yi; 《史记》精华注译
Attribution: ben juan zhu bian Zhang Guangqin, Zhang Shengru ; fu zhu bian Xu Jianjun, Cai Mingzhong本卷主编张光勤, 张盛如 ; 副主编徐建军, 蔡明忠
Subjects: Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司马遷, a. 145-ca. 86 B.C. 史记; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 202 B.C.-220 A.D
Provision information: Beijing: Beijing guang bo xue yuan chu ban she, 1992; 北京: 北京广播学院出版社, 1992; Di 1 ban; 第1版","60010$6880-05$aSima, Qian,$dapproximately 145 B.C.-approximately 86 B.C.$tShi ji. 88014$6600-05/$1$a司马遷,$ca. 145-ca. 86 B.C.$t史记.","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马遷, a. 145-ca. 86 B.C.",Subject,"""Shi ji"" jing hua zhu yi; 《史记》精华注译","ben juan zhu bian Zhang Guangqin, Zhang Shengru ; fu zhu bian Xu Jianjun, Cai Mingzhong 本卷主编张光勤, 张盛如 ; 副主编徐建军, 蔡明忠","Beijing: Beijing guang bo xue yuan chu ban she, 1992 北京: 北京广播学院出版社, 1992 Di 1 ban 第1版","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司马遷, a. 145-ca. 86 B.C. 史记; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 202 B.C.-220 A.D",,,1084254,1084254#Agent600-23,2,,,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马遷, a. 145-ca. 86 B.C.",False,1992,sima qian approximately 145 b c approximately 86 b c 司马遷 a 145 ca 86 b c,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马遷, a. 145-ca. 86 B.C. ""Shi ji"" jing hua zhu yi; 《史记》精华注译 Subject Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司马遷, a. 145-ca. 86 B.C. 史记; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 202 B.C.-220 A.D  ","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马遷, a. 145-ca. 86 B.C. ""Shi ji"" jing hua zhu yi; 《史记》精华注译 Subject","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司马遷, a. 145-ca. 86 B.C. 史记; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 202 B.C.-220 A.D ",0.6,China;History;Qian;Sima;Subject,True,history,76.0,31,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马迁, approximately 145 B.C.-approximately 86 B.C."
"Contributor: Sima, Qian, approximately 145 B.C.-approximately 86 B.C.司马遷, a. 145-ca. 86 B.C.
Title: ""Shi ji"" jing hua zhu yi; 《史记》精华注译
Related work: Shi ji. Selections. 1992.史记. Selections. 1992.
Attribution: ben juan zhu bian Zhang Guangqin, Zhang Shengru ; fu zhu bian Xu Jianjun, Cai Mingzhong本卷主编张光勤, 张盛如 ; 副主编徐建军, 蔡明忠
Subjects: Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司马遷, a. 145-ca. 86 B.C. 史记; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 202 B.C.-220 A.D
Provision information: Beijing: Beijing guang bo xue yuan chu ban she, 1992; 北京: 北京广播学院出版社, 1992; Di 1 ban; 第1版","70012$6880-07$aSima, Qian,$dapproximately 145 B.C.-approximately 86 B.C.$tShi ji.$kSelections.$f1992. 88012$6700-07/$1$a司马遷,$ca. 145-ca. 86 B.C.$t史记.$kSelections.$f1992.","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马遷, a. 145-ca. 86 B.C.",Contributor,"""Shi ji"" jing hua zhu yi; 《史记》精华注译","ben juan zhu bian Zhang Guangqin, Zhang Shengru ; fu zhu bian Xu Jianjun, Cai Mingzhong 本卷主编张光勤, 张盛如 ; 副主编徐建军, 蔡明忠","Beijing: Beijing guang bo xue yuan chu ban she, 1992 北京: 北京广播学院出版社, 1992 Di 1 ban 第1版","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司马遷, a. 145-ca. 86 B.C. 史记; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 202 B.C.-220 A.D",,Shi ji. Selections. 1992. 史记. Selections. 1992.,1084254,1084254#Agent700-28,1,,,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马遷, a. 145-ca. 86 B.C.",False,1992,sima qian approximately 145 b c approximately 86 b c 司马遷 a 145 ca 86 b c,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马遷, a. 145-ca. 86 B.C. ""Shi ji"" jing hua zhu yi; 《史记》精华注译 Contributor Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司马遷, a. 145-ca. 86 B.C. 史记; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 202 B.C.-220 A.D  Shi ji. Selections. 1992. 史记. Selections. 1992.","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马遷, a. 145-ca. 86 B.C. ""Shi ji"" jing hua zhu yi; 《史记》精华注译 Contributor","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司马遷, a. 145-ca. 86 B.C. 史记; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 202 B.C.-220 A.D ",0.8,China;Contributor;History;Qian;Sima,True,history,76.0,31,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马迁, approximately 145 B.C.-approximately 86 B.C."
"Subject: Sima, Qian, approximately 145 B.C.-approximately 86 B.C.司馬遷, approximately 145 B.C.-approximately 86 B.C.
Title: Shi ji di ming kao: [fu: xu li zong mu suo yin]; 史記地名考: [附: 序例總目索引]
Attribution: Qian Mu [zhu]錢穆 [著]
Subjects: Names, Geographical--China; Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記
Provision information: Xianggang: Long men shu dian, 1968; 香港: 龍門書店, 1968","60010$6880-04$aSima, Qian,$dapproximately 145 B.C.-approximately 86 B.C.$tShi ji. 88014$6600-04/$1$a司馬遷,$dapproximately 145 B.C.-approximately 86 B.C.$t史記.","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司馬遷, approximately 145 B.C.-approximately 86 B.C.",Subject,Shi ji di ming kao: [fu: xu li zong mu suo yin]; 史記地名考: [附: 序例總目索引],Qian Mu [zhu] 錢穆 [著],"Xianggang: Long men shu dian, 1968 香港: 龍門書店, 1968","Names, Geographical--China; Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記",,,1127990,1127990#Agent600-21,2,,,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司馬遷, approximately 145 B.C.-approximately 86 B.C.",False,1968,sima qian approximately 145 b c approximately 86 b c 司馬遷 approximately 145 b c approximately 86 b c,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司馬遷, approximately 145 B.C.-approximately 86 B.C. Shi ji di ming kao: [fu: xu li zong mu suo yin]; 史記地名考: [附: 序例總目索引] Subject Names, Geographical--China; Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記  ","Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司馬遷, approximately 145 B.C.-approximately 86 B.C. Shi ji di ming kao: [fu: xu li zong mu suo yin]; 史記地名考: [附: 序例總目索引] Subject","Names, Geographical--China; Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記 ",0.6,China;Geographical;Names;Qian;Sima;Subject,True,,30.0,31,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马迁, approximately 145 B.C.-approximately 86 B.C."
"Contributor: Browning, Elizabeth Barrett, 1806-1861
Title: Sonnets from the Portuguese
Provision information: New York: Philip C. Duschnes, 1950; Centennial variorum ed., edited and with an introduction by Fannie Ratchford, and notes by Deoch Fulton.","1001 $aBrowning, Elizabeth Barrett,$d1806-1861.","Browning, Elizabeth Barrett, 1806-1861",Contributor,Sonnets from the Portuguese,,"New York: Philip C. Duschnes, 1950 Centennial variorum ed., edited and with an introduction by Fannie Ratchford, and notes by Deoch Fulton.",,,,1248602,1248602#Agent100-13,4,1806,1861,"Browning, Elizabeth Barrett",True,1950,browning elizabeth barrett,"Browning, Elizabeth Barrett, 1806-1861 Sonnets from the Portuguese Contributor   ","Browning, Elizabeth Barrett, 1806-1861 Sonnets from the Portuguese Contributor", ,0.19999999999999996,Contributor;Portuguese;Sonnets,True,,33.0,32,"Browning, Elizabeth Barrett, 1806-1861"
"Subject: Browning, Elizabeth Barrett, 1806-1861
Title: Elizabeth Barrett Browning
Attribution: by Edmund Clarence Stedman
Provision information: Boston: J.R. Osgood and company, 1877","60010$aBrowning, Elizabeth Barrett,$d1806-1861.","Browning, Elizabeth Barrett, 1806-1861",Subject,Elizabeth Barrett Browning,by Edmund Clarence Stedman,"Boston: J.R. Osgood and company, 1877",,,,1199716,1199716#Agent600-21,3,1806,1861,"Browning, Elizabeth Barrett",True,1877,browning elizabeth barrett,"Browning, Elizabeth Barrett, 1806-1861 Elizabeth Barrett Browning Subject   ","Browning, Elizabeth Barrett, 1806-1861 Elizabeth Barrett Browning Subject", ,0.4,Elizabeth Barrett Browning;Subject,True,,33.0,32,"Browning, Elizabeth Barrett, 1806-1861"
"Contributor: Browning, Elizabeth Barrett, 1806-1861
Title: Sonnets from the Portuguese
Attribution: by Elizabeth Barrett Browning
Provision information: Venice: S. Rosen, 1906","1001 $aBrowning, Elizabeth Barrett,$d1806-1861.","Browning, Elizabeth Barrett, 1806-1861",Contributor,Sonnets from the Portuguese,by Elizabeth Barrett Browning,"Venice: S. Rosen, 1906",,,,1168316,1168316#Agent100-13,3,1806,1861,"Browning, Elizabeth Barrett",True,1906,browning elizabeth barrett,"Browning, Elizabeth Barrett, 1806-1861 Sonnets from the Portuguese Contributor   ","Browning, Elizabeth Barrett, 1806-1861 Sonnets from the Portuguese Contributor", ,0.4,Contributor;Portuguese;Sonnets,True,,33.0,32,"Browning, Elizabeth Barrett, 1806-1861"
"Contributor: Buchan, John, 1875-1940
Title: Some eighteenth century byways and other essays
Attribution: by John Buchan
Genres: Biographies
Provision information: Edinburgh; and London: W. Blackwood & Sons, 1908","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,Some eighteenth century byways and other essays,by John Buchan,"Edinburgh; and London: W. Blackwood & Sons, 1908",,Biographies,,1245253,1245253#Agent100-16,2,1875,1940,"Buchan, John",True,1908,buchan john,"Buchan, John, 1875-1940 Some eighteenth century byways and other essays Contributor  Biographies ","Buchan, John, 1875-1940 Some eighteenth century byways and other essays Contributor", Biographies,0.6,Contributor;Some,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: The magic carpet: poems for travellers selected by Mrs. Waldo Richards ...
Related work: Fisher Jamie
Subjects: Poetry of places; English poetry; American poetry
Provision information: Boston and New York: Houghton Mifflin company, 1924","70010$aBuchan, John,$d1875-1940.$tFisher Jamie.","Buchan, John, 1875-1940",Contributor,The magic carpet: poems for travellers selected by Mrs. Waldo Richards ...,,"Boston and New York: Houghton Mifflin company, 1924",Poetry of places; English poetry; American poetry,,Fisher Jamie,1246251,1246251#Agent700-24,2,1875,1940,"Buchan, John",True,1924,buchan john,"Buchan, John, 1875-1940 The magic carpet: poems for travellers selected by Mrs. Waldo Richards ... Contributor Poetry of places; English poetry; American poetry  Fisher Jamie","Buchan, John, 1875-1940 The magic carpet: poems for travellers selected by Mrs. Waldo Richards ... Contributor",Poetry of places; English poetry; American poetry ,0.6,American;Contributor;English;Poetry;Waldo Richards,True,language_and_literature,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: The three hostages ...
Subjects: Fransberg, John A.--Autograph; Fransberg, John A.--Stamp
Genres: Fiction
Provision information: New York: Grosset & Dunlap, [c1924]","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,The three hostages ...,,"New York: Grosset & Dunlap, [c1924]","Fransberg, John A.--Autograph; Fransberg, John A.--Stamp",Fiction,,1248783,1248783#Agent100-13,2,1875,1940,"Buchan, John",True,,buchan john,"Buchan, John, 1875-1940 The three hostages ... Contributor Fransberg, John A.--Autograph; Fransberg, John A.--Stamp Fiction ","Buchan, John, 1875-1940 The three hostages ... Contributor","Fransberg, John A.--Autograph; Fransberg, John A.--Stamp Fiction",0.6,Autograph;Contributor;Fransberg;John;Stamp,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: Prester John ...
Attribution: by John Buchan
Genres: Fiction
Provision information: New York: George H. Doran Company, [c1910]","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,Prester John ...,by John Buchan,"New York: George H. Doran Company, [c1910]",,Fiction,,1245281,1245281#Agent100-14,2,1875,1940,"Buchan, John",True,,buchan john,"Buchan, John, 1875-1940 Prester John ... Contributor  Fiction ","Buchan, John, 1875-1940 Prester John ... Contributor", Fiction,0.6,Contributor;Prester John,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: The three hostages ...
Attribution: by John Buchan
Provision information: New York: Bantam Books, [1946]","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,The three hostages ...,by John Buchan,"New York: Bantam Books, [1946]",,,,1248755,1248755#Agent100-13,3,1875,1940,"Buchan, John",True,1946,buchan john,"Buchan, John, 1875-1940 The three hostages ... Contributor   ","Buchan, John, 1875-1940 The three hostages ... Contributor", ,0.4,Contributor,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: Huntingtower ...
Attribution: John Buchan
Genres: Fiction
Provision information: London; New York [etc.]: Thomas Nelson and Sons, Ltd, [1924]","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,Huntingtower ...,John Buchan,"London; New York [etc.]: Thomas Nelson and Sons, Ltd, [1924]",,Fiction,,1248678,1248678#Agent100-13,2,1875,1940,"Buchan, John",True,1924,buchan john,"Buchan, John, 1875-1940 Huntingtower ... Contributor  Fiction ","Buchan, John, 1875-1940 Huntingtower ... Contributor", Fiction,0.6,Contributor;Huntingtower,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Subject: Buchan, John, 1875-1940
Title: The lilac and the rose
Attribution: by Susan Tweedsmuir
Provision information: London: Gerald Duckworth & Co. Ltd., [1952]","60010$aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Subject,The lilac and the rose,by Susan Tweedsmuir,"London: Gerald Duckworth & Co. Ltd., [1952]",,,,1228153,1228153#Agent600-22,3,1875,1940,"Buchan, John",True,1952,buchan john,"Buchan, John, 1875-1940 The lilac and the rose Subject   ","Buchan, John, 1875-1940 The lilac and the rose Subject", ,0.4,Subject,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: The battle of the Somme, second phase
Attribution: by John Buchan
Subjects: Somme, 1st Battle of the, France, 1916
Provision information: Edinburgh; New York [etc.]: T. Nelson & sons, ltd, [1917]","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,"The battle of the Somme, second phase",by John Buchan,"Edinburgh; New York [etc.]: T. Nelson & sons, ltd, [1917]","Somme, 1st Battle of the, France, 1916",,,1248627,1248627#Agent100-15,2,1875,1940,"Buchan, John",True,1917,buchan john,"Buchan, John, 1875-1940 The battle of the Somme, second phase Contributor Somme, 1st Battle of the, France, 1916  ","Buchan, John, 1875-1940 The battle of the Somme, second phase Contributor","Somme, 1st Battle of the, France, 1916 ",0.6,Battle;Contributor;France;Somme,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: The watcher by the threshold and other tales ...
Attribution: John Buchan
Genres: Fiction
Provision information: London, New York [etc.]: Thomas Nelson and Sons, Ltd, [1922]","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,The watcher by the threshold and other tales ...,John Buchan,"London, New York [etc.]: Thomas Nelson and Sons, Ltd, [1922]",,Fiction,,1248760,1248760#Agent100-13,2,1875,1940,"Buchan, John",True,1922,buchan john,"Buchan, John, 1875-1940 The watcher by the threshold and other tales ... Contributor  Fiction ","Buchan, John, 1875-1940 The watcher by the threshold and other tales ... Contributor", Fiction,0.6,Contributor,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: A lost lady of old years: a romance
Attribution: by John Buchan
Subjects: G., R. G.--Presentation inscription to A. Scott; Scott, Agnes--Presentation inscription from R.G.G
Genres: Fiction
Provision information: London and New York: J. Lane, 1899","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,A lost lady of old years: a romance,by John Buchan,"London and New York: J. Lane, 1899","G., R. G.--Presentation inscription to A. Scott; Scott, Agnes--Presentation inscription from R.G.G",Fiction,,1248695,1248695#Agent100-15,1,1875,1940,"Buchan, John",True,1899,buchan john,"Buchan, John, 1875-1940 A lost lady of old years: a romance Contributor G., R. G.--Presentation inscription to A. Scott; Scott, Agnes--Presentation inscription from R.G.G Fiction ","Buchan, John, 1875-1940 A lost lady of old years: a romance Contributor","G., R. G.--Presentation inscription to A. Scott; Scott, Agnes--Presentation inscription from R.G.G Fiction",0.8,Agnes;Contributor;Presentation;Scott,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: The thirty-nine steps
Attribution: by John Buchan
Genres: Fiction
Provision information: New York: G.H. Doran company, [c1915]","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,The thirty-nine steps,by John Buchan,"New York: G.H. Doran company, [c1915]",,Fiction,,1248749,1248749#Agent100-13,2,1875,1940,"Buchan, John",True,,buchan john,"Buchan, John, 1875-1940 The thirty-nine steps Contributor  Fiction ","Buchan, John, 1875-1940 The thirty-nine steps Contributor", Fiction,0.6,Contributor,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: The king's grace, 1910-1935 ...
Attribution: by John Buchan
Subjects: George V, King of Great Britain, 1865-1936; Buchan, John, 1875-1940--Autograph; World War, 1914-1918--Great Britain; Great Britain--History--George V, 1910-1936
Provision information: London: Hodder and Stoughton, 1935","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,"The king's grace, 1910-1935 ...",by John Buchan,"London: Hodder and Stoughton, 1935","George V, King of Great Britain, 1865-1936; Buchan, John, 1875-1940--Autograph; World War, 1914-1918--Great Britain; Great Britain--History--George V, 1910-1936",,,1249748,1249748#Agent100-16,2,1875,1940,"Buchan, John",True,1935,buchan john,"Buchan, John, 1875-1940 The king's grace, 1910-1935 ... Contributor George V, King of Great Britain, 1865-1936; Buchan, John, 1875-1940--Autograph; World War, 1914-1918--Great Britain; Great Britain--History--George V, 1910-1936  ","Buchan, John, 1875-1940 The king's grace, 1910-1935 ... Contributor","George V, King of Great Britain, 1865-1936; Buchan, John, 1875-1940--Autograph; World War, 1914-1918--Great Britain; Great Britain--History--George V, 1910-1936 ",0.6,Autograph;Buchan;Contributor;George;Great Britain;History;John;King;World War,True,history,77.0,1,"Newman, John Henry, 1801-1890"
"Associated person: Buchan, John, 1875-1940
Title: The king's grace, 1910-1935 ...
Attribution: by John Buchan
Subjects: George V, King of Great Britain, 1865-1936; Buchan, John, 1875-1940--Autograph; World War, 1914-1918--Great Britain; Great Britain--History--George V, 1910-1936
Provision information: London: Hodder and Stoughton, 1935","69214$aBuchan, John,$d1875-1940","Buchan, John, 1875-1940",Associated person,"The king's grace, 1910-1935 ...",by John Buchan,"London: Hodder and Stoughton, 1935","George V, King of Great Britain, 1865-1936; Buchan, John, 1875-1940--Autograph; World War, 1914-1918--Great Britain; Great Britain--History--George V, 1910-1936",,,1249748,1249748#Agent692-23,2,1875,1940,"Buchan, John",True,1935,buchan john,"Buchan, John, 1875-1940 The king's grace, 1910-1935 ... Associated person George V, King of Great Britain, 1865-1936; Buchan, John, 1875-1940--Autograph; World War, 1914-1918--Great Britain; Great Britain--History--George V, 1910-1936  ","Buchan, John, 1875-1940 The king's grace, 1910-1935 ... Associated person","George V, King of Great Britain, 1865-1936; Buchan, John, 1875-1940--Autograph; World War, 1914-1918--Great Britain; Great Britain--History--George V, 1910-1936 ",0.6,Associated;Autograph;Buchan;George;Great Britain;History;John;King;World War,True,history,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: Essays and apothegms ...
Attribution: Edited, with an introd., by John Buchan.
Provision information: London: Walter Scott, Ltd, [1894]","7001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,Essays and apothegms ...,"Edited, with an introd., by John Buchan.","London: Walter Scott, Ltd, [1894]",,,,1341061,1341061#Agent700-19,3,1875,1940,"Buchan, John",True,1894,buchan john,"Buchan, John, 1875-1940 Essays and apothegms ... Contributor   ","Buchan, John, 1875-1940 Essays and apothegms ... Contributor", ,0.4,Contributor;Essays,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: Julius Caesar ...
Subjects: Caesar, Julius
Provision information: [London]: Peter Davies Limited, 1935","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,Julius Caesar ...,,"[London]: Peter Davies Limited, 1935","Caesar, Julius",,,1189141,1189141#Agent100-13,3,1875,1940,"Buchan, John",True,1935,buchan john,"Buchan, John, 1875-1940 Julius Caesar ... Contributor Caesar, Julius  ","Buchan, John, 1875-1940 Julius Caesar ... Contributor","Caesar, Julius ",0.4,Caesar;Contributor;Julius;Julius Caesar,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: [Pamphlets by and about John Buchan]
Subjects: Buchan, John, 1875-1940","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,[Pamphlets by and about John Buchan],,,"Buchan, John, 1875-1940",,,1189123,1189123#Agent100-13,4,1875,1940,"Buchan, John",True,,buchan john,"Buchan, John, 1875-1940 [Pamphlets by and about John Buchan] Contributor Buchan, John, 1875-1940  ","Buchan, John, 1875-1940 [Pamphlets by and about John Buchan] Contributor","Buchan, John, 1875-1940 ",0.19999999999999996,Buchan;Contributor;John;John Buchan;Pamphlets,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Subject: Buchan, John, 1875-1940
Title: [Pamphlets by and about John Buchan]","60010$aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Subject,[Pamphlets by and about John Buchan],,,,,,1189123,1189123#Agent600-17,5,1875,1940,"Buchan, John",True,,buchan john,"Buchan, John, 1875-1940 [Pamphlets by and about John Buchan] Subject   ","Buchan, John, 1875-1940 [Pamphlets by and about John Buchan] Subject", ,0.0,John Buchan;Pamphlets;Subject,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: Days to remember: the British Empire in the Great War
Attribution: by John Buchan and Henry Newbolt
Subjects: World War, 1914-1918
Provision information: London; New York [etc.]: Thomas Nelson and Sons, Ltd, 1923","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,Days to remember: the British Empire in the Great War,by John Buchan and Henry Newbolt,"London; New York [etc.]: Thomas Nelson and Sons, Ltd, 1923","World War, 1914-1918",,,1248643,1248643#Agent100-14,2,1875,1940,"Buchan, John",True,1923,buchan john,"Buchan, John, 1875-1940 Days to remember: the British Empire in the Great War Contributor World War, 1914-1918  ","Buchan, John, 1875-1940 Days to remember: the British Empire in the Great War Contributor","World War, 1914-1918 ",0.6,British Empire;Contributor;Days;Great War;World War,True,,77.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Buchan, John, 1875-1940
Title: Greenmantle ...
Subjects: World War, 1914-1918--Fiction
Provision information: Montreal: The Reprint Society of Canada Limited, [1948]","1001 $aBuchan, John,$d1875-1940.","Buchan, John, 1875-1940",Contributor,Greenmantle ...,,"Montreal: The Reprint Society of Canada Limited, [1948]","World War, 1914-1918--Fiction",,,1189135,1189135#Agent100-13,3,1875,1940,"Buchan, John",True,1948,buchan john,"Buchan, John, 1875-1940 Greenmantle ... Contributor World War, 1914-1918--Fiction  ","Buchan, John, 1875-1940 Greenmantle ... Contributor","World War, 1914-1918--Fiction ",0.4,Contributor;Fiction;Greenmantle;World War,True,language_and_literature,77.0,1,"Newman, John Henry, 1801-1890"
